,Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
30,David Rodgers,associate,Epstein pilot whose flight logs became key evidence,[],1,2,9,True,American
31,Alexander Acosta,legal,U.S. Attorney who approved Epstein's 2008 NPA; resigned as Labor Secretary in 2019,"['Alex Acosta', 'R. Alexander Acosta']",0,13,9,False,American
32,David Boies,legal,Attorney who represented Virginia Giuffre,['David Boles'],4,5,9,False,American
33,Catherine Derby,associate,Flew with Epstein's inner circle; Derby family linked to Epstein property management,['Katherine Darby'],3,0,9,False,
34,Juan Alessi,associate,Former house manager of Epstein's Palm Beach estate,[],2,4,8,True,American
35,Eva Andersson-Dubin,socialite,Physician; ex-girlfriend of Epstein; 6 black book numbers; testified at Maxwell trial,['Eva Dubin'],8,11,8,True,Swedish-American
36,Bill Richardson,politician,Former Governor of New Mexico; U.S. Secretary of Energy,['William Blaine Richardson III'],6,1,8,True,American
37,Bill Gates,business,Microsoft co-founder; met Epstein 6+ times post-conviction; acknowledged it was a mistake,['William Henry Gates III'],1,4,8,False,American
38,Walter Cronkite,celebrity,Legendary CBS News anchor; appeared on one Epstein flight in 2002 (deceased),[],1,1,8,False,American
39,Stefanie Tidwell,associate,Flew to Epstein's island in June 2006 alongside Ruslana Korshunova,[],2,0,8,False,
40,Doug Band,politician,Clinton's senior aide; ~20 Epstein flights; facilitated Clinton-Epstein travel,['Douglas Jay Band'],33,1,7,True,American
41,Julie K. Brown,other,Miami Herald journalist whose reporting led to Epstein's 2019 arrest,[],0,3,7,False,American
42,CHRISTIAN R. EVERDELL,associate,Attorney for Defendant Ghislaine Maxwell,[],0,28,7,False,
43,Bobbi C. Sternheim,associate,Attorney for Defendant Ghislaine Maxwell,[],0,57,7,False,
44,Dana Burns,associate,Traveler,[],3,1,7,False,
45,Ruslana Korshunova,other,"Kazakh supermodel; named in flight logs, died 2008 at age 20 (deceased)",[],1,0,7,False,Kazakh
46,Ruslana Korshunova,other,Kazakh supermodel who visited Epstein's island at 18; died in 2008 at age 20,['Ruslana Korshonova'],1,0,7,False,Kazakhstani
47,Ehud Barak,politician,Former Israeli PM; ~30 documented visits to Epstein residences post-conviction,[],15,1,6,True,Israeli
48,Les Wexner,business,Founder of L Brands/Victoria's Secret; Epstein's primary financial patron; named FBI co-conspirator; ordered to depose in Ohio State abuse case (Feb 2026),"['Leslie Wexner', 'Leslie H. Wexner']",15,10,6,True,American
49,Kevin Spacey,celebrity,Academy Award-winning actor; 6 Epstein flights during 2002 Clinton Foundation Africa trip,['Kevin Spacey Fowler'],6,2,6,True,American
50,Chris Tucker,celebrity,Actor/comedian; 7 Epstein flights during 2002 Clinton Foundation Africa trip,[],7,1,6,False,American
51,Melanie Walker,academic,Neurosurgeon; key Epstein-Gates bridge; science advisor to both; DOJ emails show $6M funding request,"['Melanie S. Walker', 'Dr. Melanie Walker']",0,3,6,False,American
52,Larry Summers,politician,Former U.S. Treasury Secretary; former Harvard President,['Lawrence Henry Summers'],5,0,5,True,American
53,Leon Black,business,Apollo Global Management co-founder; paid Epstein $158M post-conviction,[],9,1,5,True,American
54,Glenn Dubin,business,Hedge fund billionaire; 8 black book numbers; accused by Giuffre of sexual abuse,[],15,0,5,True,American
55,Bradley Edwards,legal,Attorney who represented dozens of Epstein victims,['Brad Edwards'],0,5,5,False,American
56,Annie Farmer,other,Maxwell trial witness who testified under her real name,[],0,10,5,False,American
57,JEFFREY S. PAGLIUCA,associate,Attorney for Defendant Ghislaine Maxwell,[],0,24,5,False,
58,DAMIAN WILLIAMS,associate,United States Attorney for the Southern District of New York,[],0,9,5,False,
59,Nick,associate,Correspondent and friend,[],1,0,5,False,
60,Joulia Starodoumovit,associate,Appeared on 3 Epstein flights; no public information available,[],3,0,5,False,
61,Peter Listerman,associate,Russian businessman and model scout in Epstein's network,[],0,13,4,True,Russian
62,Teddy Forstmann,business,Billionaire buyout pioneer; founder of IMG,['Theodore Joseph Forstmann'],3,0,4,True,American
63,Peter Mandelson,politician,British politician; former European Commissioner,['Baron Mandelson'],2,0,4,True,British
64,Jes Staley,business,Former CEO of Barclays; resigned over Epstein ties,['James Edward Staley'],6,0,4,True,American
65,Mort Zuckerman,business,Media mogul; owner of NY Daily News,['Mortimer Benjamin Zuckerman'],4,0,4,True,American
66,Brett Ratner,celebrity,Film director and producer,[],3,0,4,True,American
67,Pepe Fanjul,business,Sugar magnate and Palm Beach billionaire,['Jose Fanjul'],1,0,4,True,Cuban-American
68,Sarah Ferguson,royalty,Duchess of York; ex-wife of Prince Andrew,"['Duchess of York', 'Fergie']",2,0,4,True,British
69,Naomi Campbell,celebrity,British supermodel; 5 Epstein flights; 5 black book numbers; linked to Brunel via modeling,[],5,0,4,True,British
70,Sigrid McCawley,legal,Lead counsel for Virginia Giuffre in Maxwell defamation suit,[],0,5,4,False,American
71,Stephen Hawking,academic,Theoretical physicist who attended conference on Epstein's island,[],3,0,4,False,British
72,Lawrence Krauss,academic,Physicist who maintained ties with Epstein post-conviction,[],1,0,4,False,American
73,Maria Farmer,other,Among the first to report Epstein to law enforcement in 1996,[],0,4,4,False,American
74,FBI agents,associate,Investigative agency that seized evidence and conducted forensic analysis,[],0,5,4,False,
75,Sultan Ahmed bin Sulayem,business,DP World CEO; unredacted by Congress as one of six hidden names in Epstein files,"['Sultan bin Sulayem', 'bin Sulayem']",0,0,4,False,Emirati
76,Mark Epstein,associate,Jeffrey's brother; 7 black book numbers; owned apartments used to house young women,[],5,0,3,True,American
77,Haley Robson,associate,Identified as recruiter in Epstein operation while a minor,[],0,9,3,False,American
78,Gwendolyn Beck,associate,Former girlfriend of Jeffrey Epstein,[],3,0,3,True,American
79,George Mitchell,politician,Former U.S. Senate Majority Leader,['George John Mitchell Jr.'],6,0,3,True,American
80,Terje Roed-Larsen,politician,Norwegian diplomat; former UN Special Envoy,[],2,0,3,True,Norwegian
81,Jose Maria Aznar,politician,Former Prime Minister of Spain,['Jose Maria Aznar Lopez'],2,0,3,True,Spanish
82,Thomas Pritzker,business,Executive Chairman of Hyatt Hotels Corporation,['Tom Pritzker'],1,1,3,True,American
83,Michael Bloomberg,politician,Former NYC Mayor; founder of Bloomberg LP,[],1,0,3,True,American
84,Elon Musk,business,CEO of Tesla and SpaceX; 16+ emails with Epstein revealed in DOJ EFTA release,[],0,4,3,False,American
85,Edgar Bronfman Sr.,business,Former Chairman of Seagram Company,[],2,0,3,True,Canadian-American
86,Woody Allen,celebrity,Filmmaker; regular dinner guest at Epstein's townhouse post-conviction,['Allen Stewart Konigsberg'],9,0,3,True,American
87,Sandy Weill,business,Former Chairman and CEO of Citigroup,['Sanford I. Weill'],1,0,3,True,American
88,Michael Ovitz,business,Co-founder of CAA; former Disney president; flew on Epstein aircraft; email correspondence in EFTA releases,['Michael Steven Ovitz'],2,0,3,True,American
89,Ronald Perelman,business,Chairman of MacAndrews & Forbes,['Ron Perelman'],2,0,3,True,American
90,Charlie Rose,celebrity,TV host; 4 black book numbers; flight logs; attended 2010 post-conviction dinner; later fired for sexual misconduct,[],2,0,3,True,American
91,Barbara Walters,celebrity,Broadcast journalist; 3 black book numbers; part of Maxwell's NYC social circle,[],1,0,3,True,American
92,Katie Couric,celebrity,TV journalist; attended 2010 Epstein dinner; 3 black book numbers; wrote about it in memoir,[],1,0,3,True,American
93,Maurene Comey,legal,Lead prosecutor in the Ghislaine Maxwell trial,[],0,4,3,False,American
94,Jack Scarola,legal,Victims' rights attorney in Epstein civil cases,[],0,3,3,False,American
95,Noam Chomsky,academic,MIT linguist; multiple post-conviction meetings with Epstein; defended the interactions,['Avram Noam Chomsky'],1,0,3,False,American
96,Nicole Junkermann,socialite,Businesswoman and investor listed in Epstein's black book,[],1,0,3,True,German
97,George Stephanopoulos,celebrity,ABC News anchor who attended post-conviction dinner at Epstein mansion,[],2,0,3,True,American
98,Les Moonves,business,Former CBS CEO; 4 black book numbers; resigned over separate sexual misconduct allegations,['Leslie Roy Moonves'],2,0,3,True,American
99,Flavio Briatore,business,F1 team boss; 5 black book numbers; jet-set social circle overlap with Epstein/Maxwell,[],1,0,3,True,Italian
100,Henry Kissinger,politician,Former Secretary of State; 4 black book numbers; attended post-conviction Epstein dinners,['Henry Alfred Kissinger'],1,0,3,True,American
101,Tiffany Gramza,associate,Former beauty queen who worked as Epstein assistant,[],1,0,3,False,American
102,David Oscar Markus,associate,Additional counsel for Ghislaine Maxwell,[],0,15,3,False,
103,ROBERT GLASSMAN,associate,Jane's attorney,[],0,7,3,False,
104,Stanley Pottinger,associate,"Sender of email to Amanda Kramer, potentially an attorney or investigator",[],0,2,3,False,
105,Soon-Yi Previn,other,Wife of Woody Allen; appeared on 8+ Epstein flights (2010-2013),"['Mrs Allen', 'Mrs Allen (Soon Yi Previn)', 'Soon Yi Previn']",9,0,3,False,American
106,Clare Watts,associate,"Appeared on 17 Epstein flight manifests, likely cabin crew",[],17,0,3,False,
107,Boris Nikolic,academic,Gates's science advisor; introduced Gates to Epstein; named in Epstein's will,[],0,0,3,False,Croatian-American
108,Tatyana Simanava,associate,Appeared on 2 Epstein flights in 2006; no public information available,[],2,0,3,False,
109,Celina Midelfart,socialite,Norwegian businesswoman and socialite,[],1,0,2,True,Norwegian
110,Peter Soros,business,Financier; nephew of George Soros,[],2,0,2,True,American
111,Lynn Forester de Rothschild,business,CEO of EL Rothschild; businesswoman,['Lady de Rothschild'],1,0,2,True,American-British
112,Reid Weingarten,legal,Defense attorney who represented Epstein in 2008 plea deal,[],0,3,2,True,American
113,David Blaine,celebrity,Magician; 5 black book numbers; performed at Epstein properties; mentioned by victims,['David Blaine White'],2,0,2,True,American
114,Joseph Recarey,legal,Lead Palm Beach detective on the Epstein case; deceased,['Joe Recarey'],0,5,2,False,American
115,Clare Hazell-Iveagh,socialite,British socialite listed in Epstein's black book,['Countess of Iveagh'],1,0,2,True,British
116,Peggy Siegal,socialite,NYC publicist who helped Epstein reenter society post-conviction,[],1,0,2,True,American
117,Tom Barrack,business,Colony Capital founder; U.S. Ambassador to Turkey; 544 EFTA mentions; flew on Epstein aircraft; direct email correspondence,"['Thomas Joseph Barrack Jr.', 'Thomas J. Barrack']",1,0,2,True,American
118,Sarah Ransome,other,Epstein survivor and author of 'Silenced No More',[],0,7,2,False,South African
119,Kevin Maxwell,socialite,Ghislaine Maxwell's brother; son of Robert Maxwell,[],2,0,2,True,British
120,Paul M. Daugerdas,associate,Defendant in the case,[],0,12,2,False,
121,David Parse,associate,Defendant who filed a Motion For Judgment Of Acquittal Pursuant To Rule 29,[],0,7,2,False,
122,CLAUDIUS ENGLISH,associate,Defendant accused of sex trafficking a minor,[],0,13,2,False,
123,TODD BLANCHE,associate,Deputy Attorney General (unrelated to the main content),[],0,3,2,False,
124,Peter Skinner,associate,Attorney at Boies Schiller representing Virginia Roberts,[],0,2,2,False,
125,Elizabeth Stein,associate,Victim of Jeffrey Epstein and Ghislaine Maxwell,[],0,6,2,False,
126,Medical Examiner,associate,Performed the autopsy on Epstein,[],0,9,2,False,
127,Ellen Brockman,associate,Attorney,[],0,2,2,False,
128,a retired federal judge,associate,proposed monitor for the Defendant's assets,[],0,4,2,False,
129,TODD A. SPODEK,associate,Counsel for Jury Number 50,[],0,3,2,False,
130,Anil Ambani,business,Indian billionaire who served as intermediary between PM Modi and Epstein,['Anil Dhirubhai Ambani'],0,0,2,False,Indian
131,Amir Elichai,business,Carbyne co-founder; Unit 8200 veteran; Epstein-funded 911 surveillance tech,[],0,0,2,False,Israeli
132,Lady Robin Innes-Ker,associate,British aristocrat; flew with Ghislaine and Kevin Maxwell on Epstein's jet,"['Lady Robin Innes Ker', 'Katherine Innes-Ker']",2,0,2,False,British
133,Ben Goertzel,academic,AGI researcher; received Epstein salary and OpenCog funding; proposed $3M 'robot toddler' project,['Benjamin Goertzel'],0,1,2,False,Brazilian-American
134,Itamar Arel,academic,UT professor; developed Epstein-funded facial recognition tech; co-proposed 'robot toddler' project,[],0,1,2,False,Israeli-American
135,Reid Hoffman,business,"LinkedIn co-founder; hosted 2015 dinner with Epstein, Musk, Zuckerberg; visited island",[],0,1,1,False,American
136,Alison Moe,legal,Lead prosecutor in the Ghislaine Maxwell trial,[],0,3,1,False,American
137,Joi Ito,academic,Former MIT Media Lab director who resigned over Epstein donations,['Joichi Ito'],1,1,1,False,Japanese-American
138,Seth Lloyd,academic,MIT professor who accepted Epstein donations,[],0,0,1,False,American
139,Gerald Lefcourt,legal,Epstein defense attorney who wrote controversial letter to prosecutors,[],2,1,1,False,American
140,Theresa Trzaskoma,associate,Person who had a discussion with Brune about Juror No. 1,[],0,4,1,False,
141,Mr. Robertson,associate,defendant,[],0,13,1,False,
142,Ms. Edelstein,associate,witness,[],0,5,1,False,
143,Scotty David,associate,juror in Ghislaine Maxwell trial,[],0,2,1,False,
144,Heriberto Tellez,associate,Warden of the Metropolitan Detention Center,[],0,3,1,False,
145,Dr. Park Dietz,associate,Defense expert witness,[],0,8,1,False,
146,MICHAEL THOMAS,associate,Defendant,[],0,5,1,False,
147,Mr. Tein,associate,Examining attorney,[],0,2,1,False,
148,David Perry QC,associate,Author of the expert opinion on extradition law,[],0,3,1,False,
149,Arthur L. Aidala,associate,Substitute/Additional counsel for Ghislaine Maxwell/Defendant-Appellant,[],0,3,1,False,
150,Patrick J. Smith,associate,Attorney for Jordana H. Feldman,[],0,3,1,False,
151,Michael E. Horowitz,associate,DOJ Inspector General,[],0,3,1,False,
152,parties involved in the case,associate,recipients of protected material,[],0,3,1,False,
153,Mr. Vega,associate,witness,[],0,2,1,False,
154,Steven Sinofsky,business,Former Microsoft Windows president who sought Epstein's advice on exit terms,[],0,0,1,False,American
155,Karyna Shuliak,associate,Epstein's girlfriend; $631K in tuition payments; Columbia dental school admission via donation pressure,[],0,0,1,False,Belarusian
156,Jim Worden,associate,Flew with Epstein's defense attorney Gerald Lefcourt during NPA negotiations,[],3,0,1,False,
157,Steve Scully,associate,Pilot of Epstein's private aircraft,['Steve Scully (pilot)'],0,0,0,True,American
158,Emmy Tayler,associate,Personal assistant to Ghislaine Maxwell,['Emmy Taylor'],0,0,0,True,British
159,Richard Kahn,associate,Epstein estate co-executor; subpoenaed for House Oversight deposition (Feb 2026),[],0,1,0,True,American
160,Shelley Lewis,associate,Television producer in Epstein's social network,[],0,0,0,True,American
161,Rosie McGoldrick,associate,Property manager for Epstein's NYC townhouse,[],0,0,0,True,American
162,Miles Alexander,associate,Attorney listed in Epstein's contact network,[],0,0,0,True,American
163,Tony Blair,politician,Former Prime Minister of the United Kingdom,['Anthony Charles Lynton Blair'],0,0,0,True,British
164,Andrew Cuomo,politician,Former Governor of New York,[],0,0,0,True,American
165,John Kerry,politician,Former U.S. Secretary of State; U.S. Senator,['John Forbes Kerry'],0,0,0,True,American
166,Chris Dodd,politician,Former U.S. Senator from Connecticut,['Christopher John Dodd'],0,0,0,True,American
167,David Koch,business,Billionaire industrialist; co-owner of Koch Industries,['David Hamilton Koch'],0,0,0,True,American
168,Ed Tuttle,politician,Architect and hotel designer in Epstein's network,['Edward Tuttle'],0,0,0,True,American
169,Robert Menendez,politician,Former U.S. Senator from New Jersey,['Bob Menendez'],0,0,0,True,American
170,Burt Minkoff,politician,Listed contact in Epstein's black book,[],0,0,0,True,American
171,Alejandra Villarreal,socialite,Social contact listed in Epstein's black book,[],0,0,0,True,Mexican
172,Steve Bannon,business,Former White House Chief Strategist; media executive,['Stephen Kevin Bannon'],0,0,0,False,American
173,Rupert Murdoch,business,Media mogul; founder of News Corp and Fox Corporation,['Keith Rupert Murdoch'],0,0,0,True,American
174,Richard Branson,business,Founder of Virgin Group,['Sir Richard Charles Nicholas Branson'],0,1,0,True,British
175,Sergey Brin,business,Co-founder of Google,[],0,1,0,True,American
176,Conrad Black,business,Media baron; former owner of the Daily Telegraph,['Lord Black of Crossharbour'],0,0,0,True,Canadian-British
177,Vic Rasheed,business,Real estate developer in Epstein's contact network,[],0,0,0,True,American
178,JP Morgan (Institutional),business,Bank that maintained Epstein accounts until 2013,[],0,0,0,False,American
179,Deutsche Bank (Institutional),business,Bank that took on Epstein after JP Morgan; fined $150M,[],0,0,0,False,German
180,Prince Michael of Kent,royalty,Member of the British Royal Family,[],0,0,0,True,British
181,Mohammed bin Salman,royalty,Crown Prince of Saudi Arabia,['MBS'],0,0,0,False,Saudi
182,Prince Albert of Monaco,royalty,Sovereign Prince of Monaco,['Albert II'],0,0,0,True,Monegasque
183,Prince Pavlos of Greece,royalty,Crown Prince of Greece (in exile),['Crown Prince Pavlos'],0,0,0,True,Greek
184,Courtney Love,celebrity,Rock musician (Hole); 3 black book numbers; publicly warned about Epstein/Weinstein circles,['Courtney Michelle Love'],0,0,0,True,American
185,Mick Jagger,celebrity,Rolling Stones frontman; 4 black book numbers; photographed with Epstein and Clinton,['Sir Michael Philip Jagger'],0,0,0,True,British
186,Alec Baldwin,celebrity,Actor; 4 black book numbers; denied knowing Epstein,['Alexander Rae Baldwin III'],0,0,0,True,American
187,Ralph Fiennes,celebrity,British actor; 2 black book numbers; named in unsealed documents without allegations,['Ralph Nathaniel Twisleton-Wykeham-Fiennes'],0,0,0,True,British
188,Dustin Hoffman,celebrity,Actor; 1 black book number (page 26); no allegations,[],0,0,0,True,American
189,Bruce Willis,celebrity,Action film star; 2 black book numbers; named in unsealed documents without allegations,['Walter Bruce Willis'],0,0,0,True,American
190,Itzhak Perlman,celebrity,Virtuoso violinist; 2 black book numbers (page 77); no allegations,[],0,0,0,True,Israeli-American
191,Mike Wallace,celebrity,60 Minutes journalist; 2 black book numbers; accuser testified meeting him with Epstein; died 2012,['Myron Leon Wallace'],0,0,0,True,American
192,Chelsea Handler,celebrity,Comedian who attended dinner at Epstein mansion post-conviction,[],0,0,0,False,American
193,Kenneth Starr,legal,Former Solicitor General; Epstein defense attorney,['Ken Starr'],0,0,0,False,American
194,Robert Mueller,legal,Former FBI Director during initial Epstein investigation,['Robert Swan Mueller III'],0,0,0,False,American
195,Cy Vance,legal,Former Manhattan DA whose office sought to lower Epstein's sex offender status,['Cyrus Roberts Vance Jr.'],0,0,0,False,American
196,Barry Krischer,legal,Former Palm Beach State Attorney criticized for handling of Epstein case,[],0,0,0,False,American
197,Michael Reiter,legal,Former Palm Beach Police Chief who investigated Epstein,[],0,0,0,False,American
198,Geoffrey Berman,legal,Former U.S. Attorney who indicted Epstein in 2019,[],0,0,0,False,American
199,Laura Menninger,legal,Lead defense attorney for Ghislaine Maxwell,[],0,2,0,False,American
200,Martin Weinberg,legal,Epstein defense attorney in 2019 federal case,[],0,0,0,False,American
201,Marvin Minsky,academic,AI pioneer named in Giuffre court filings; deceased,[],0,0,0,False,American
202,George Church,academic,Harvard geneticist who received Epstein funding,[],0,0,0,False,American
203,Martin Nowak,academic,Harvard professor whose program received $6.5M from Epstein,[],0,0,0,False,Austrian-American
204,Lisa Randall,academic,Harvard physicist who attended science conference on Epstein island,[],0,0,0,False,American
205,Robert Trivers,academic,Evolutionary biologist who received Epstein research funding,[],0,0,0,False,American
206,Danny Hillis,academic,Computer scientist who connected Epstein with MIT,['W. Daniel Hillis'],0,1,0,True,American
207,Robert Maxwell,military-intelligence,Ghislaine's father; media mogul; suspected intelligence connections,['Jan Ludvik Hyman Binyamin Hoch'],0,0,0,False,British
208,Ari Ben-Menashe,military-intelligence,Former Israeli intel officer who made claims about Epstein ties,[],0,0,0,False,Israeli
209,William Barr,legal,U.S. Attorney General when Epstein died in federal custody,[],0,1,0,False,American
210,Donald Barr,academic,Dalton School headmaster who hired young Epstein as a teacher,[],0,0,0,False,American
211,Isabel Maxwell,socialite,Ghislaine Maxwell's sister; tech entrepreneur,[],0,0,0,True,British-American
212,Christine Maxwell,socialite,Ghislaine Maxwell's sister; tech entrepreneur,[],0,1,0,True,British-American
213,Courtney Wild,other,Epstein victim who challenged the 2008 plea deal in court,[],0,0,0,False,American
214,Demi Moore,celebrity,Actress; 2 black book numbers; no allegations,['Demi Gene Guynes'],0,0,0,True,American
215,Michael Jackson,celebrity,King of Pop; 3 black book numbers; photographed at event with Epstein; died 2009,['King of Pop'],0,0,0,True,American
216,Jean-Georges Vongerichten,other,Celebrity chef listed in Epstein's black book,[],0,0,0,True,French-American
217,Alan Grubman,legal,Entertainment attorney listed in Epstein's black book,['Allen Grubman'],0,0,0,True,American
218,Steven Spielberg,celebrity,Filmmaker; 3 black book numbers; name-dropped by Epstein but no direct allegations,[],0,0,0,True,American
219,Jean-Marie Le Pen,politician,French far-right politician; 2 black book numbers; daughter Marine cited 88 times in EFTA files; died 2026,[],0,0,0,True,French
220,David Copperfield,celebrity,Illusionist; 5 black book numbers; Giuffre testified he appeared aware of Epstein's conduct,['David Seth Kotkin'],0,2,0,True,American
221,Tony Randall,celebrity,Actor (The Odd Couple); 2 black book numbers; died 2004; no allegations,['Arthur Leonard Rosenberg'],0,0,0,True,American
222,Minnie Driver,celebrity,Actress; 1 black book number (page 15); minimal entry; no allegations,['Amelia Fiona Jessica Driver'],0,0,0,True,British-American
223,Bob Weinstein,business,Film producer; 4 black book numbers; brother of Harvey Weinstein; no Epstein-related allegations,['Robert Weinstein'],0,0,0,True,American
224,Harvey Weinstein,business,Film producer; 5 black book numbers; convicted rapist in separate cases; parallel predatory patterns noted,[],0,1,0,True,American
225,Phil Collins,celebrity,Genesis frontman; 3 black book numbers; no allegations,['Philip David Charles Collins'],0,0,0,True,British
226,Carly Simon,celebrity,Singer-songwriter; 3 black book numbers; Martha's Vineyard social overlap; sister also listed,[],0,0,0,True,American
227,Bob Wright,business,Former NBC Universal CEO listed in Epstein's black book,['Robert Charles Wright'],0,0,0,True,American
228,Peter Marino,other,Architect listed in Epstein's black book,[],0,0,0,True,American
229,Vera Wang,business,Fashion designer listed in Epstein's black book,[],0,0,0,True,American
230,Donna Karan,business,Fashion designer listed in Epstein's black book,[],0,0,0,True,American
231,Simon Le Bon,celebrity,Musician listed in Epstein's black book,[],0,0,0,True,British
232,Hasnat Khan,other,Heart surgeon listed in Epstein's black book,['Dr. Hasnat Khan'],0,0,0,True,British-Pakistani
233,John Cleese,celebrity,Monty Python comedian; 2 black book numbers (page 11); no allegations,[],0,0,0,True,British
234,Elizabeth Hurley,celebrity,Actress/model; 1 black book number (page 27); listed via London production company,['Liz Hurley'],0,0,0,True,British
235,Larry Gagosian,business,Art dealer listed in Epstein's black book,[],0,0,0,True,American
236,Michael Stroll,business,Business contact listed in Epstein's black book,[],0,0,0,True,American
237,Philip Barden,associate,Personal assistant in Epstein's network,[],0,0,0,True,British
238,Al Gore,politician,Former VP; 2 black book numbers; Giuffre testified meeting him at dinner but no wrongdoing alleged,['Albert Arnold Gore Jr.'],0,0,0,True,American
239,David Rockefeller,business,Chase Manhattan chairman; 4 black book numbers; recruited Epstein to Trilateral Commission and Rockefeller University board; died 2017,[],0,1,0,True,American
240,Evelyn de Rothschild,business,British financier listed in Epstein's black book; deceased,['Sir Evelyn Robert de Rothschild'],0,0,0,True,British
241,Nelson Shanks,other,Portrait painter listed in Epstein's black book; deceased,[],0,0,0,True,American
242,Paul Tudor Jones,business,Hedge fund manager listed in Epstein's black book,['Paul Tudor Jones II'],0,0,0,True,American
243,Henry Kravis,business,Co-founder of KKR listed in Epstein's black book,['Henry Robert Kravis'],0,0,0,True,American
244,Lloyd Blankfein,business,Former Goldman Sachs CEO listed in Epstein's black book,[],0,0,0,True,American
245,Jimmy Cayne,business,Former Bear Stearns CEO; Epstein previously worked at Bear Stearns,['James Cayne'],0,0,0,True,American
246,Alan Greenberg,business,Former Bear Stearns chairman who hired Epstein; deceased,['Ace Greenberg'],0,0,0,True,American
247,Peter Brant,business,Newsprint magnate listed in Epstein's black book,[],0,0,0,True,American
248,Arpad Busson,business,French financier listed in Epstein's black book,[],0,0,0,True,French
249,Elle Macpherson,celebrity,Supermodel listed in Epstein's black book,['Eleanor Nancy Gow'],0,0,0,True,Australian
250,Claudia Schiffer,celebrity,Supermodel listed in Epstein's black book,[],0,0,0,True,German
251,Carol Alt,celebrity,Model and actress listed in Epstein's black book,[],0,0,0,True,American
